TaskID,BD,Task Name,Team,Upstream Dependencies,Completion Indicator,Owner,Reviewer,Approver,Data Source,Description
T01,BD-5,Accrual intake kickoff (request unbilled spend),Accounts Payable,(Start),Email sent to all department finance partners,Heather Walsh / Anthony Rivera,,,Outlook,"Five business days before quarter-end, the AP team emails every department's finance contact asking them to flag any goods or services the company has received but not yet been billed for, so those costs can be recorded in the right period."
T02,BD-2,Confirm payroll calendars closed (final payrolls processed),Payroll & Benefits,(Start),Email sent to PayrollCAN confirming all regional payrolls run,Steven Price,,,ADP / Workday,Payroll confirms that the final paycheques for the quarter have been processed in every region. This signal lets downstream teams begin work that depends on having complete employee compensation data.
T03,BD-2,Billing & Revenue Cutoff Validation,Accounts Receivable,(Start),Email sent confirming all billings complete,Olivia Chen,,,NetSuite,AR confirms that every customer order shipped or delivered before quarter-end has been invoiced. This is the green light for the Revenue team to start recognizing the quarter's sales.
T04,BD+2,Equity Award Activity Reconciliation (RSU/ESPP),Payroll & Benefits,T02,Reconciliation file saved to Payroll shared drive,Rachel Stein,Melissa Carter,Melissa Carter,Shareworks / Workday,"The team reconciles employee stock activity for the quarter. RSUs are restricted stock units (company shares granted to employees that vest over time), and ESPP is the employee stock purchase plan (a benefit that lets employees buy shares at a discount). The reconciliation makes sure the equity tracking system matches what was actually granted, vested, or terminated."
T05,BD+2,Global Payroll Register Validation & Headcount Reconciliation,Payroll & Benefits,T02,Payroll register reconciled; file saved to shared drive,Steven Price,Melissa Carter,Melissa Carter,ADP / Workday / NetSuite,"The team reviews the full list of employees paid in the quarter (the payroll register) against HR records to confirm every new hire, termination, and transfer is reflected correctly. This is the master employee count and compensation total that downstream tasks rely on."
T06,BD+3,Compile Payroll Accrual & Withholding Tax JE,Payroll & Benefits,"T04, T05",JE template uploaded to SharePoint,Steven Price,Melissa Carter,Melissa Carter,"ADP, Workday, Excel, SharePoint","Payroll prepares an entry capturing wages earned by employees in the quarter but not yet paid out, plus the related taxes the company owes the government on those wages. This is delivered as a journal entry template (a structured Excel file) that Accounting Operations will later post to the general ledger."
T07,BD+2,Validate Contract & Order Completeness,Revenue,T03,Email sent confirming contracts validated,Marcus Delacroix,,,Contracts repository (go/lcd),"Revenue reviews customer contracts signed during the quarter, especially those over $100K, to confirm what was sold, when delivery happens, and how revenue should be recognized. Anything non-standard (custom payment terms, phased delivery) gets flagged and discussed with Legal and Sales before revenue is booked."
T08,BD+1,NetSuite Error Checking (pre-rev-rec cleanup),Revenue,"T03, T07",Error queue cleared; email sent confirming clean,Marcus Delacroix,,,NetSuite,Pre-rev-rec means before the revenue recognition engine runs. Revenue runs a system check in NetSuite (the company's accounting platform) to find and fix any data errors that would cause the automated revenue calculation to fail or produce wrong numbers. The engine cannot run until this queue is clean.
T09,BD+3,CIO Org Accruals JE,FP&A,T01,JE template uploaded to SharePoint,Nia Osei,Jonathan Whitfield,Jonathan Whitfield,"NetSuite, Email, Excel, SharePoint","FP&A prepares a journal entry capturing IT-related costs (services, software, contractor work in the CIO's organization) where the company has received the work but not yet been invoiced. The entry is delivered as a template that Accounting Operations posts to the general ledger."
T10,BD+4,Headcount-Driven S&B Analysis (Actual vs Forecast),FP&A,"T05, T06",Analysis file saved to FP&A shared drive,Ramesh Venkataraman,Jonathan Whitfield,Jonathan Whitfield,"NetSuite, Adaptive, Tableau","S&B stands for salaries and benefits. FP&A compares the actual employee compensation cost for the quarter (from payroll) against what was forecast at the start of the quarter, explains the gap (new hires, attrition, raises, bonuses), and writes up the analysis for leadership review."
T11,BD+4,Post Payroll Accrual JE,Accounting Operations,T06,Journal entry posted in NetSuite; confirmation email sent,Mei Lin,Robert Chen,Robert Chen,SharePoint / NetSuite,"Accounting Operations picks up the payroll accrual template that Payroll uploaded to SharePoint, validates the format and account coding, and records it in the company's general ledger (NetSuite). A confirmation email is sent back to Payroll once posted."
T12,BD+4,Post FP&A CIO Accrual JE,Accounting Operations,T09,Journal entry posted in NetSuite; confirmation email sent,Mei Lin,Robert Chen,Robert Chen,SharePoint / NetSuite,"Accounting Operations picks up the CIO accrual template that FP&A uploaded to SharePoint, validates it, and records it in the general ledger. A confirmation email is sent back to FP&A once posted."
T13,BD+4,Execute Revenue Recognition Engine,Revenue,"T07, T08",Email sent by Revenue team confirming run complete,Marcus Delacroix,,,NetSuite,"Revenue triggers an automated calculation in NetSuite that determines how much revenue to record for each customer contract this quarter, based on accounting rules around when revenue can actually be counted (delivery, performance, contract terms). The run typically happens overnight; Revenue confirms the next morning that it completed cleanly."
T14,BD+4,Run Currency Revaluation,Accounting Operations,"T11, T12, T13",NetSuite revaluation page shows FX 100% complete,Heather Walsh,Heather Walsh,,NetSuite,"The company holds balances in multiple currencies (euros, pounds, yen, etc). Currency revaluation re-prices all of those balances using the exchange rates as of quarter-end, so the financial statements reflect today's currency values rather than the rates from when each transaction originally happened."
T15,BD+9,GL / Balance Sheet Reconciliation Review (NA),Accounting Operations,"T10, T14",Review email sent to preparer; BS analysis signed off,Heather Walsh,John Whitaker,John Whitaker,NetSuite GL / NA BS analysis,"The North America balance sheet (the snapshot of what the company owns and owes at quarter-end) is reviewed account by account to confirm every balance is supported by underlying documentation. The reviewer signs off via email, marking the close substantially complete for the region."